2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Summary'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk cb3219e3-d3f2-4b88-8120-fce479eef168 created (words 0-71)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Compatibility'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk fb2d1f82-7d54-4772-a071-bf889a8f7b78 created (words 0-82)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Detailed description'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 0006318e-07cb-4314-bf98-6a9f251cac1d created (words 0-200)
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 1cfb4e6a-b479-49bc-a7c8-ab4aaea9323c created (words 150-350)
2026-03-03 14:36:54 | DEBUG | chunker | Chunk a7e798c9-91f7-44c4-bf1f-d55d062c8051 created (words 300-384)
2026-03-03 14:36:54 | INFO | chunker | Created 3 chunks for section 'Flowchart'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 7b2e1ac4-c160-4f3b-a787-2903cc835c7b created (words 0-114)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Input parameters'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 2bc85d7c-a945-463e-9b04-94e6c2ba6fb4 created (words 0-108)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Outputs'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 7cc2d53d-b69c-49e6-be36-e539393d008e created (words 0-164)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Exceptions'
2026-03-03 14:36:54 | INFO | chunker | Created 0 chunks for section 'Parameter details'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 3a26c47a-efa6-4d96-ab89-bd01b8ff89ba created (words 0-12)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section '1. Input parameter: `location_timeout`'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk af1ca100-be88-4075-8abd-72647767a023 created (words 0-2)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Example'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 5ff685a3-bcd6-42ac-a6eb-ba9cc23c788e created (words 0-14)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Details'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 6c7e6673-b964-460b-84fb-8a1056c70b46 created (words 0-13)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section '2. Input parameter: `sample_interval`'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 09ad2117-f2a3-4250-9726-c8bd3661030c created (words 0-2)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Example'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 1ac1f558-7402-4d1a-a286-aab2d4d7b351 created (words 0-18)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Details'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 772d8e11-1e08-473a-b15d-33fe8cfdc31f created (words 0-8)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section '3. Input parameter: `max_speed_accuracy`'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 2af6159c-c507-4119-afc6-96f939e3f0aa created (words 0-2)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Example'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 7a94efa6-1795-4021-9d49-3b26dc479e2a created (words 0-19)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Details'
2026-03-03 14:36:54 | INFO | chunker | Created 0 chunks for section 'Output details'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 27d6b98f-4205-4392-9f3b-7fd115abdba4 created (words 0-7)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section '4. Result variable: `speed_value_output`'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 54af34ad-d5ea-4728-af43-97d938118033 created (words 0-2)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Example'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk c7130be0-025d-45db-aa7d-7238b139d9f8 created (words 0-8)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section '5. Result variable: `distance_output`'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 3df07fce-0a70-40f7-884c-9f08dd9ec754 created (words 0-2)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Example'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 9f80e71f-b60d-4ba1-819c-a7e39ed83f19 created (words 0-14)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section '6. Result variable: `speed_accuracy_used`'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 8a0f80c4-895c-4b61-81d1-18e06528e6aa created (words 0-2)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Example'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk 3fc6e19d-2f19-4de3-8769-1ba86b1e534d created (words 0-39)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Details'
2026-03-03 14:36:54 | DEBUG | chunker | Chunk f994f121-0491-4494-bbae-dc348e77d673 created (words 0-34)
2026-03-03 14:36:54 | INFO | chunker | Created 1 chunks for section 'Complete JSON example'
2026-03-03 14:36:54 | INFO | chunker | Total chunks created: 26
2026-03-04 00:51:31 | INFO | chunker | Chunker initialized (max_chunk_size=200, overlap=50)
2026-03-04 00:51:31 | INFO | chunker | Starting chunking process for document_id=d7569ab9-eaff-4b20-92e5-8a0b9d4760f5
2026-03-04 00:51:31 | INFO | chunker | Created 0 chunks for section 'Current Speed Stage'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk b8dfda22-6a8a-49d2-9e22-b01cd9c7d00d created (words 0-25)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Summary'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk ad0cc93b-59ef-4fef-939f-603b8bafcee4 created (words 0-71)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Compatibility'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 62ffad09-2d33-467d-aca0-25b4970b692b created (words 0-82)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Detailed description'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 11f7c3d8-6355-4e4e-8adc-fb94781b940d created (words 0-200)
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 38570b7d-ae4b-4e70-89e0-b78075c94d0f created (words 150-350)
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 1aea65c4-3f2f-4fd0-b176-5392f2d35a8f created (words 300-384)
2026-03-04 00:51:31 | INFO | chunker | Created 3 chunks for section 'Flowchart'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 03b9765e-6269-4cae-9d99-e57faca12fb9 created (words 0-114)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Input parameters'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 33c8d4f0-9a7c-4205-889b-fbd5a0515fe4 created (words 0-108)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Outputs'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk e076b596-f13f-4396-bfe9-3f71cf5d6edb created (words 0-164)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Exceptions'
2026-03-04 00:51:31 | INFO | chunker | Created 0 chunks for section 'Parameter details'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 7e0b0af0-8a8d-4219-9055-0e3201ee2d30 created (words 0-12)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section '1. Input parameter: `location_timeout`'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk d7b2861c-a61a-479c-b4e0-7ab42de2fb54 created (words 0-2)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Example'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk b1b2a771-c110-4651-bf07-aab227b1f0e7 created (words 0-14)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Details'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 81ae60cc-311b-4e35-8dee-fc8bd77d3450 created (words 0-13)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section '2. Input parameter: `sample_interval`'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk fff94d80-0d39-4e62-9bd7-a8dbd260befb created (words 0-2)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Example'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk ef44e0b8-556a-4d48-88f9-b5be46ffc2db created (words 0-18)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Details'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk a5466316-dee5-474f-acff-8b776f092cb2 created (words 0-8)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section '3. Input parameter: `max_speed_accuracy`'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 2739dabf-647e-4eae-9681-28eb99597347 created (words 0-2)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Example'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 099312fb-c09d-4381-95dd-3930cc3fac72 created (words 0-19)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Details'
2026-03-04 00:51:31 | INFO | chunker | Created 0 chunks for section 'Output details'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 38462762-9cac-42f4-813e-e90fb671c5e9 created (words 0-7)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section '4. Result variable: `speed_value_output`'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 1d483953-11ea-4757-bafd-8025c9f820dc created (words 0-2)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Example'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 6e22871d-6346-40ec-bfd8-c7eee3bb6fb6 created (words 0-8)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section '5. Result variable: `distance_output`'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk f38c0f7c-c586-4588-954b-d13ba86cc1a6 created (words 0-2)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Example'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 76f7132e-3dee-4a43-a075-ce932452fdef created (words 0-14)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section '6. Result variable: `speed_accuracy_used`'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 1fb2b3e4-0caa-44bd-aaf7-b5eff29111b3 created (words 0-2)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Example'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 9c195177-c11f-4a52-9b27-335b8b5407d3 created (words 0-39)
